sensor_nodes_1_based,design_mean_hotspot_rmse_C,design_worst_hotspot_rmse_C
"1,5",0.33789192842011573,0.9349361420199206
"2,5",0.35606877747436894,0.9643750043175667
"1,4",0.36457636510397257,0.9853493076346544
"3,5",0.3780957459126227,0.9132815717514589
"2,4",0.38381477441327505,1.0256772671923402
"1,3",0.4061342627467199,0.9577409938736755
"3,4",0.4078541306601566,1.005584866873336
"4,5",0.41004925162499567,0.863801901612807
"2,3",0.4268252090212946,1.0358626205348516
"1,2",0.4425870143193814,0.9016137769077499
