scenario,seed,single,bank,bank_loss_percent
nominal,0,0.07203515123782356,0.0743131459581347,3.1623376659408287
nominal,1,0.055163051034597545,0.05852820872524325,6.100383549370982
nominal,2,0.050854082328021855,0.053523452993130764,5.249078427747031
nominal,3,0.05686642815115482,0.058875767054331146,3.53343610369789
nominal,4,0.06671559776729465,0.06755776805401445,1.262328922926406
pure_measurement_noise,0,0.09166924276740111,0.09497103123980645,3.6018498383183983
pure_measurement_noise,1,0.06555397484801603,0.07136746690663341,8.868252569116823
pure_measurement_noise,2,0.06526153459806171,0.06797958890562883,4.1648642256228054
pure_measurement_noise,3,0.06630269714388785,0.07218129607879435,8.86630437092018
pure_measurement_noise,4,0.0778207431875961,0.08234179238012183,5.809568255634885
