object_index,noise_seed,C_th_scale,K_cool_scale,K_node_scale,load_input_scale,coolant_offset_C,single_hotspot_rmse_C,single_mean_node_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,bank_hotspot_rmse_C,bank_mean_node_rmse_C,bank_maximum_absolute_error_C,bank_q95_absolute_error_C,bank_hotspot_position_accuracy,hotspot_improvement_percent
0,0,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0713227467573956,1.4808947115300561,3.5165103032264184,3.074211920366918,0.9180327868852459,0.39334185217009215,0.5290999155946484,1.2262931284547562,1.0546225846880677,0.9180327868852459,63.284467415572784
0,1,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.077776513731395,1.4789783229053346,3.5299535357287013,3.0542405261801533,0.8688524590163934,0.3979979895879848,0.5269069141746772,1.2396560275181372,1.0549217458273232,0.8524590163934426,63.072308171750116
0,2,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0660384309781141,1.4723004300596865,3.476143422615152,3.0520568359177815,0.8524590163934426,0.38890435118501265,0.5204084262843153,1.1841105330315713,1.03253394922192,0.8688524590163934,63.518730668257035
0,3,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.06302994756055,1.4743158704497998,3.4934847147799672,3.0831810459824176,0.8360655737704918,0.3860586017914907,0.5227988976046244,1.2089809931375868,1.0497521496999525,0.8360655737704918,63.68318666116405
0,4,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0397203126322963,1.459797959472938,3.4821202103221367,3.0539110689273046,0.9016393442622951,0.3609676939868742,0.5068664099673077,1.1964872731339824,1.0289821174538134,0.9180327868852459,65.28223123072398
0,5,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0640564874596552,1.4742285387703222,3.509701854498992,3.0710832162373025,0.9016393442622951,0.3860244537769423,0.5219371464975543,1.2260611102768735,1.0620674302785291,0.9180327868852459,63.721432242893144
0,6,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.074290992730032,1.4829423069430667,3.5156775773673132,3.0975282062321257,0.9016393442622951,0.395450313429152,0.5314622721083446,1.2322377482914675,1.0825486360915675,0.8852459016393442,63.18964637093181
0,7,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0591251651344928,1.4637508247019748,3.5124340935452025,3.066341802590044,0.8852459016393442,0.381919907766503,0.5113491075902444,1.2288784498525303,1.059193868875717,0.9016393442622951,63.940059179124034
0,8,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0796894733874445,1.4871834090938014,3.5290934974389856,3.104926253626562,0.8688524590163934,0.4000826223712518,0.5354638141537036,1.2470803334923488,1.087584928881465,0.8852459016393442,62.94465841960812
0,9,1.0111033354603067,0.771506687744371,1.0954686915775707,1.0681729686068542,4.2193673422085025,1.0649538211042056,1.4741443347854641,3.5188134524680024,3.061421504018149,0.8852459016393442,0.3868374181066278,0.5217071355615764,1.2275664395454982,1.059329798870323,0.9180327868852459,63.67566269629114
1,0,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3598462392029987,0.4268130983891814,0.8800574347424615,0.8013941010820986,0.9344262295081968,0.2954543730903902,0.356382134301295,0.830923708441837,0.7443005007442508,0.7213114754098361,17.894272357889882
1,1,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3630828507900294,0.42997534069320065,0.9121777057064833,0.8157123452342376,0.9016393442622951,0.28760403526877387,0.3457601750592946,0.836201153160431,0.7298307477721068,0.6721311475409836,20.788317420396393
1,2,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.36542604763050784,0.4426784957848423,0.9231124234690427,0.7987531867473365,0.9016393442622951,0.281942671209709,0.3455583955064436,0.8452100153116291,0.7329505670027247,0.7049180327868853,22.845491437219913
1,3,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3479242860607521,0.4225614589537673,0.8959875261375458,0.7728022058483106,0.9344262295081968,0.28358276586607,0.34754914692916167,0.8060780855277798,0.722043020626623,0.7213114754098361,18.49296607694906
1,4,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.35438785537440004,0.4261177535487802,0.9101437964713526,0.8097640619157346,0.9344262295081968,0.2840988695652829,0.34250989186464476,0.835811009591076,0.7203622540279071,0.639344262295082,19.833914944647002
1,5,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3616974320604312,0.4284045515144719,0.975250771911071,0.8154130597492129,0.8852459016393442,0.2957044956258892,0.3667486797464806,0.9043146378863227,0.7472617403713642,0.7213114754098361,18.245342815570815
1,6,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.33493543577929896,0.4164604672200832,0.9081095691260685,0.8083916246508268,0.8852459016393442,0.2851228143200709,0.359163469723097,0.8433126934303559,0.7362984095166212,0.6557377049180327,14.872305566393214
1,7,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3512384592184107,0.41919158115393657,0.8789376673188514,0.777142239557017,0.9180327868852459,0.2912508939321195,0.34598095951610436,0.8062536666078728,0.7049564082772094,0.639344262295082,17.07887155062057
1,8,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.32767004736691047,0.4045869578745259,0.8780012050326604,0.7711256429323428,0.9180327868852459,0.2800261523150043,0.3448296825236869,0.7939148347210008,0.7041197135753634,0.6557377049180327,14.54020452426543
1,9,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.36068231835491815,0.43473095942344037,0.9027647663869303,0.796199379526189,0.9180327868852459,0.2643977894999919,0.3375258147624344,0.8394399202134721,0.7309581462933509,0.6229508196721312,26.69510645658557
2,0,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3251235520793012,0.4512090619605796,1.060481902991917,0.9258258123649968,0.9180327868852459,0.31950116767133246,0.35599968141296495,0.9388419970438093,0.7289189725842619,0.4262295081967213,1.7293070194426852
