object_index,noise_seed,final_max_probability,mean_entropy
0,0,0.9996001599360256,0.08363949742494313
0,1,0.9996001599360256,0.08214658304266367
0,2,0.9996001599360256,0.08328803742977445
0,3,0.9996001599360256,0.07550976049610303
0,4,0.9996001599360256,0.09023960833989907
0,5,0.9996001599360256,0.09432272612870753
0,6,0.9996001599360256,0.09009305838644874
0,7,0.9996001599360256,0.09410232598369374
0,8,0.9996001599360256,0.07562849554901585
0,9,0.9996001599360256,0.08703734377793719
1,0,0.8430459860939215,0.2638422267036271
1,1,0.9996001576593683,0.31003920769827803
1,2,0.9991735621777346,0.3163481906979152
1,3,0.998152525966528,0.2653558829615214
1,4,0.8502598920048202,0.3159878507096693
1,5,0.9996001450453798,0.30605168526681376
1,6,0.9996001374076541,0.25358106692795557
1,7,0.9996001599198718,0.31618136308547606
1,8,0.9996001599127906,0.2972838635107747
1,9,0.9313738499652064,0.3314935395637347
2,0,0.9996001596229056,0.20230449424169725
2,1,0.9912084929984935,0.3514654705659229
2,2,0.9996001599219666,0.22787546889276916
2,3,0.9332787850074691,0.22833817222998296
2,4,0.9996001582644708,0.2515232017138476
2,5,0.999600159661508,0.22601623745467328
2,6,0.9996001599293083,0.3373161141194932
2,7,0.9996001599185588,0.29504446691676683
2,8,0.9996001510633873,0.3157813792922553
2,9,0.9996001544279149,0.2079695429194568
3,0,0.9959081444070906,0.5175514221378907
3,1,0.9709646188073735,0.498632371259715
3,2,0.9001636156075921,0.7390826595796465
3,3,0.8918181774547946,0.7439189794756017
3,4,0.8136778977744974,0.7928842169588458
3,5,0.9866895595120925,0.708282212176525
3,6,0.7044745923860861,0.6486146254555185
3,7,0.9409400989536567,0.7502059363309476
3,8,0.9947061706570729,0.5042197923501591
3,9,0.8446912864049154,0.7348986329442347
4,0,0.9996001599360256,0.0979996097112783
4,1,0.9996001599360256,0.08781001600338566
4,2,0.9996001599360256,0.09241438236060152
4,3,0.9996001599360256,0.08403852317916533
4,4,0.9996001599360256,0.08261342093555779
4,5,0.9996001599360256,0.10143909394068834
4,6,0.9996001599360256,0.08322262449309938
4,7,0.9996001599360256,0.0879159677360585
4,8,0.9996001599360256,0.0887257918819842
4,9,0.9996001599360256,0.09222602416086766
5,0,0.9996001599360256,0.10537930073067045
5,1,0.9996001599360256,0.09013478484471352
5,2,0.9996001599360256,0.09993281649790665
5,3,0.9996001599360256,0.10667301552034848
5,4,0.9996001599360256,0.09096518504737397
5,5,0.9996001599360256,0.10458870337131698
5,6,0.9996001599360256,0.08531655295837058
5,7,0.9996001599360256,0.09057582838414857
5,8,0.9996001599360256,0.09384387446771143
5,9,0.9996001599360256,0.09469789785266113
6,0,0.9996001599360256,0.08077314269170004
6,1,0.9996001599360256,0.08400188602088182
6,2,0.9996001599360256,0.08377788133540481
6,3,0.9996001599360256,0.08444164024441875
6,4,0.9996001599360256,0.10405371940479562
6,5,0.9996001599360256,0.08574366629523307
6,6,0.9996001599360256,0.09503657127828577
6,7,0.9996001599360256,0.08734348305945346
6,8,0.9996001599360256,0.10033671012563469
6,9,0.9996001599360256,0.08583111334240574
7,0,0.9996001599360256,0.11578607874657966
7,1,0.9996001599360256,0.11341613598739875
7,2,0.9996001599360256,0.15059793905398047
7,3,0.9996001599360256,0.11385374302540666
7,4,0.9996001599360256,0.11691770668536462
7,5,0.9996001599360256,0.11509056092503234
7,6,0.9996001599360256,0.1287495877327628
7,7,0.9996001599360256,0.1200445761537633
7,8,0.999600159936025,0.14704526190907152
7,9,0.9996001599360255,0.11452751244587621
8,0,0.9684062859069783,0.6976840642257012
8,1,0.7262949146611889,0.7910584967651065
8,2,0.9948065546996065,0.5866360662829075
8,3,0.8441523642281347,0.7897813292922913
8,4,0.9594331316564751,0.740033975849558
8,5,0.7333383057711946,0.7181551242802271
8,6,0.935341941784485,0.6862985983339501
8,7,0.7129115113142988,0.6428108629826065
8,8,0.9782167087824474,0.7429294260025107
8,9,0.988418504017775,0.7000889088829969
9,0,0.9996001264618862,0.24538514983486315
9,1,0.9995894606168901,0.4412635791831072
9,2,0.999600104518346,0.5175889575531792
9,3,0.999600121065922,0.338979734703016
9,4,0.9996001329349514,0.32716677014428214
9,5,0.9995219119316024,0.3912475671535404
9,6,0.9993095119332491,0.4898844659655362
9,7,0.9996000976496328,0.45321687120176235
9,8,0.9996001101130068,0.5824761953070008
9,9,0.9995939983475167,0.3361084839210029
10,0,0.8628697256922145,0.5695613930130661
10,1,0.9835714769952815,0.5980448165033112
10,2,0.9069589877489115,0.7488502004844194
10,3,0.5847992975697563,0.7641330582092067
10,4,0.9205143353807165,0.680785982481429
10,5,0.7671211627417448,0.7790187886537026
10,6,0.664601687551812,0.7627190362751157
10,7,0.9652280410081486,0.7368000982417291
10,8,0.9110601804240104,0.6083500602866132
10,9,0.6953084793598228,0.7771939023913454
11,0,0.9996001599349534,0.148127114832125
11,1,0.9996001599357477,0.16307082461742106
11,2,0.999600159935301,0.1513768381151181
11,3,0.9996001578130096,0.18151406265338274
11,4,0.9996001599357962,0.13201297553853983
11,5,0.9996001599327424,0.16745196849950056
11,6,0.9993634470475936,0.13185355357541004
11,7,0.9996001599262323,0.17574771516908957
11,8,0.9996001598860077,0.17628715967297107
11,9,0.999600159935901,0.15881686404198686
12,0,0.9996001599358867,0.14972698760655553
12,1,0.9995183066359001,0.15002995351036058
12,2,0.9996001599332162,0.17826621787231356
12,3,0.9996001599360256,0.1516596703379432
12,4,0.9996001598512336,0.13437826704316802
12,5,0.9996001598422728,0.19192658318512432
12,6,0.9996001587359894,0.13769173029654552
12,7,0.9996001599359183,0.14642254028932472
12,8,0.9996001599360256,0.16471858442459522
12,9,0.9996001599351118,0.1612407443089689
13,0,0.9996001529376995,0.3983114532621804
13,1,0.9996001560500702,0.35466936291106566
13,2,0.9996001442445759,0.3193256992663069
13,3,0.9996001506365005,0.29165556042524277
13,4,0.9996001502031854,0.32742692179710015
13,5,0.9996001565886227,0.2706611590700595
13,6,0.9986083938362432,0.32568308686013225
13,7,0.999600151735605,0.25726779957477597
13,8,0.9996001550680979,0.30032023632070215
13,9,0.9996001541764614,0.2869813891652399
14,0,0.9959955119430955,0.3005386137588995
14,1,0.999419171151397,0.27315063163122133
14,2,0.6975407546882946,0.27207528514402674
14,3,0.999256038165787,0.2890057779267722
14,4,0.9996001462756147,0.23774159818261598
14,5,0.9996001524749832,0.3056170859759955
14,6,0.9994311823404011,0.3428329569195061
14,7,0.5401299059137515,0.36969717275616376
14,8,0.999600156346918,0.2987138934308266
14,9,0.9996001390128157,0.31036189331577835
15,0,0.9984191525104547,0.39343199411883334
15,1,0.851335973976594,0.392710357133274
15,2,0.9991047523850956,0.38478115447197075
15,3,0.9996001492985157,0.3959360454411264
15,4,0.9726152251583489,0.4004860684741302
15,5,0.9996001488266644,0.43309121737157286
15,6,0.9548864095779708,0.37663024384401217
15,7,0.9996001510779338,0.42095304161167124
15,8,0.9984051276265394,0.46347876628570567
15,9,0.9996001449120704,0.3169288741293343
16,0,0.9996001599360256,0.133387496669857
16,1,0.9996001599360256,0.13875454503725596
