time_s,region,COMSOL_C,Python_C,difference_C
50.0,inlet,27.431723727800136,27.439114391143907,-0.007390663343770143
50.0,intermediate,27.78800983302618,27.793357933579337,-0.005348100553156598
50.0,outlet,28.14256614114741,28.14760147601476,-0.005035334867351082
150.0,inlet,28.40676844995385,28.406768453527974,-3.5741223314289527e-09
150.0,intermediate,29.06863039525069,29.068630399622908,-4.3722181430894125e-09
150.0,outlet,29.658551799959568,29.65855180503478,-5.075211362282062e-09
250.0,inlet,31.050846944302933,31.050846981940005,-3.7637072125562554e-08
250.0,intermediate,32.11623767218488,32.11623771720659,-4.502170725118049e-08
250.0,outlet,33.077646361581216,33.077646413158455,-5.157723848014939e-08
350.0,inlet,33.92905811346748,33.9290581942773,-8.080982638603018e-08
350.0,intermediate,35.49180755259352,35.49180764774401,-9.51504901536282e-08
350.0,outlet,36.918117150034846,36.918117258066715,-1.0803186967223155e-07
450.0,inlet,37.02804285524016,37.02804305054998,-1.9530982342530478e-07
450.0,intermediate,39.18814694223734,39.18814717046763,-2.2823029155460972e-07
450.0,outlet,41.179463905589984,41.17946416367305,-2.5808306958197136e-07
550.0,inlet,40.33520773473417,40.33520806477032,-3.3003615129700847e-07
550.0,intermediate,43.19891207552231,43.19891246110008,-3.855777706007757e-07
550.0,outlet,45.86210846156944,45.86210889785785,-4.3628840984411e-07
650.0,inlet,43.83860696121437,43.83860736756563,-4.063512619723042e-07
650.0,intermediate,47.518478248376205,47.51847872338688,-4.750106725737169e-07
650.0,outlet,50.96725389763681,50.9672544355678,-5.379309939712584e-07
750.0,inlet,47.52684258333264,47.52684294868796,-3.6535531933168386e-07
750.0,intermediate,52.14182954557904,52.141829972262464,-4.266834210397974e-07
750.0,outlet,56.49676520928145,56.496765692113314,-4.828318651561858e-07
850.0,inlet,51.388979712726325,51.38898027510176,-5.623754333328179e-07
850.0,intermediate,57.06446505021494,57.064465710765056,-6.605501141621062e-07
850.0,outlet,62.45306770235556,62.45306845365611,-7.513005471082579e-07
950.0,inlet,55.414476370604646,55.41447691323705,-5.426324065638255e-07
950.0,intermediate,62.28232127303401,62.282321911442885,-6.38408877762231e-07
950.0,outlet,68.83906300326376,68.83906373041087,-7.27147110524129e-07
1050.0,inlet,52.376191026403774,52.37619155154457,-5.251407984019352e-07
1050.0,intermediate,58.2286163451742,58.22861696703055,-6.218563441962033e-07
1050.0,outlet,63.78208756989295,63.78208828199147,-7.120985188180384e-07
1150.0,inlet,49.25083056581586,49.25083136979778,-8.03981919261787e-07
1150.0,intermediate,54.17023559879652,54.17023654846538,-9.496688591070779e-07
1150.0,outlet,58.80815990698223,58.80816099240707,-1.0854248344571715e-06
1250.0,inlet,46.08182668776281,46.08182718924488,-5.014820700921518e-07
1250.0,intermediate,50.15212081907156,50.15212147475385,-6.556822853553967e-07
1250.0,outlet,53.9629837116769,53.96298452030689,-8.086299914111805e-07
1350.0,inlet,42.90728672069439,42.90728692660481,-2.0591042471096443e-07
1350.0,intermediate,46.21257134774331,46.212571681744855,-3.3400154819673844e-07
1350.0,outlet,49.28434227450046,49.28434274110873,-4.666082702442509e-07
1450.0,inlet,39.76080345924754,39.760802983454134,4.757934064514302e-07
1450.0,intermediate,42.38426561989544,42.38426510286095,5.170344863358878e-07
1450.0,outlet,44.803326349138906,44.80332579992552,5.492133894335893e-07
1550.0,inlet,36.67213796206324,36.67213736661708,5.95446159934454e-07
1550.0,intermediate,38.69512088534789,38.695120213732835,6.716150551255851e-07
1550.0,outlet,40.54536617267216,40.54536543434188,7.383302786934109e-07
1650.0,inlet,33.66780390739597,33.667803020824024,8.865719465234179e-07
1650.0,intermediate,35.1690272546041,35.169026231157275,1.0234468277303677e-06
1650.0,outlet,36.53111113605885,36.531109988003564,1.1480552828402324e-06
1750.0,inlet,30.77155803117951,30.771557067568473,9.63611036297607e-07
1750.0,intermediate,31.826462394145658,31.82646127496693,1.119178726582959e-06
1750.0,outlet,32.77716522943477,32.77716396746839,1.261966382060109e-06
1850.0,inlet,28.00482032292062,28.0048192760529,1.0468677196229237e-06
1850.0,intermediate,28.68501690292907,28.685015684690878,1.218238192990384e-06
1850.0,outlet,29.296714512663915,29.29671313673597,1.3759279440250793e-06
1950.0,inlet,25.387028195767744,25.387027080488746,1.115278998042868e-06
1950.0,intermediate,25.75983634264917,25.759835044547653,1.2981015160562492e-06
1950.0,outlet,26.10005435204848,26.10005288564815,1.466400330940587e-06
