curve,data_x,data_y
experiment_T1_C,0.0,53.40167753960857
experiment_T1_C,0.8207934336525308,53.40167753960857
experiment_T1_C,1.6415868673050615,53.40167753960857
experiment_T1_C,2.462380300957592,53.40167753960857
experiment_T1_C,3.283173734610123,53.40167753960857
experiment_T1_C,4.1039671682626535,53.40167753960857
experiment_T1_C,4.924760601915184,53.40167753960857
experiment_T1_C,5.745554035567715,53.40167753960857
experiment_T1_C,6.566347469220246,53.42031686859273
experiment_T1_C,7.387140902872777,53.42031686859273
experiment_T1_C,8.207934336525307,53.513513513513516
experiment_T1_C,9.028727770177838,53.606710158434296
experiment_T1_C,9.849521203830369,53.606710158434296
experiment_T1_C,10.6703146374829,53.64398881640261
experiment_T1_C,11.49110807113543,53.58807082945014
experiment_T1_C,12.311901504787961,53.58807082945014
experiment_T1_C,13.132694938440492,53.606710158434296
experiment_T1_C,13.953488372093023,53.625349487418454
experiment_T1_C,14.774281805745554,53.65796831314073
experiment_T1_C,15.595075239398085,53.690587138863
experiment_T1_C,16.415868673050614,53.723205964585276
experiment_T1_C,17.236662106703147,53.75582479030755
experiment_T1_C,18.057455540355676,53.77446411929171
experiment_T1_C,18.87824897400821,53.793103448275865
experiment_T1_C,19.699042407660738,53.81174277726002
experiment_T1_C,20.51983584131327,53.77819198508854
experiment_T1_C,21.3406292749658,53.74464119291706
experiment_T1_C,22.161422708618332,53.711090400745576
experiment_T1_C,22.98221614227086,53.677539608574094
experiment_T1_C,23.803009575923394,53.64398881640261
experiment_T1_C,24.623803009575923,53.64398881640261
experiment_T1_C,25.444596443228455,53.68126747437093
experiment_T1_C,26.265389876880985,54.054054054054056
experiment_T1_C,27.086183310533517,54.14725069897484
experiment_T1_C,27.906976744186046,54.091332712022364
experiment_T1_C,28.72777017783858,54.11463187325256
experiment_T1_C,29.548563611491108,54.13793103448276
experiment_T1_C,30.369357045143637,54.16123019571295
experiment_T1_C,31.19015047879617,54.18452935694315
experiment_T1_C,32.0109439124487,54.20316868592731
experiment_T1_C,32.83173734610123,54.22180801491146
experiment_T1_C,33.65253077975376,54.2497670083877
experiment_T1_C,34.47332421340629,54.27772600186393
experiment_T1_C,35.294117647058826,54.333643988816405
experiment_T1_C,36.11491108071135,54.333643988816405
experiment_T1_C,36.935704514363884,54.352283317800556
experiment_T1_C,37.75649794801642,54.38257222739981
experiment_T1_C,38.57729138166895,54.41286113699907
experiment_T1_C,39.398084815321475,54.44315004659832
experiment_T1_C,40.21887824897401,54.473438956197576
experiment_T1_C,41.03967168262654,54.50372786579683
experiment_T1_C,41.86046511627907,54.53401677539608
experiment_T1_C,42.6812585499316,54.56430568499534
experiment_T1_C,43.50205198358413,54.5945945945946
experiment_T1_C,44.322845417236664,54.68779123951538
experiment_T1_C,45.14363885088919,54.72506989748369
experiment_T1_C,45.96443228454172,54.72506989748369
experiment_T1_C,46.785225718194255,54.61634047840944
experiment_T1_C,47.60601915184679,54.5076110593352
experiment_T1_C,48.42681258549931,54.39888164026095
experiment_T1_C,49.247606019151846,54.2901522211867
experiment_T1_C,50.06839945280438,54.18142280211246
experiment_T1_C,50.88919288645691,54.072693383038214
experiment_T1_C,51.70998632010944,54.0950605778192
experiment_T1_C,52.53077975376197,54.11742777260019
experiment_T1_C,53.3515731874145,54.13979496738118
experiment_T1_C,54.172366621067034,54.16216216216216
experiment_T1_C,54.99316005471956,54.18452935694315
experiment_T1_C,55.81395348837209,54.24044734389562
experiment_T1_C,56.634746922024625,54.27772600186393
experiment_T1_C,57.45554035567716,54.31500465983225
experiment_T1_C,58.276333789329684,54.4641192917055
experiment_T1_C,59.097127222982216,54.4641192917055
experiment_T1_C,59.91792065663475,54.48275862068965
experiment_T1_C,60.738714090287274,54.4641192917055
experiment_T1_C,61.55950752393981,54.44547996272134
experiment_T1_C,62.38030095759234,54.44547996272134
experiment_T1_C,63.20109439124487,54.352283317800556
experiment_T1_C,64.0218878248974,54.38956197576887
experiment_T1_C,64.84268125854993,54.38956197576887
experiment_T1_C,65.66347469220246,54.37092264678471
experiment_T1_C,66.484268125855,54.333643988816405
experiment_T1_C,67.30506155950752,54.37092264678471
experiment_T1_C,68.12585499316006,54.426840633737186
experiment_T1_C,68.94664842681259,54.4641192917055
experiment_T1_C,69.76744186046511,54.72506989748369
experiment_T1_C,70.58823529411765,54.74370922646785
experiment_T1_C,71.40902872777018,54.72506989748369
experiment_T1_C,72.2298221614227,54.706430568499535
experiment_T1_C,73.05061559507524,54.68779123951538
experiment_T1_C,73.87140902872777,54.66915191053122
experiment_T1_C,74.6922024623803,54.68779123951538
experiment_T1_C,75.51299589603283,54.44547996272134
experiment_T1_C,76.33378932968536,54.333643988816405
experiment_T1_C,77.1545827633379,54.37092264678471
experiment_T1_C,77.97537619699042,54.352283317800556
experiment_T1_C,78.79616963064295,54.333643988816405
experiment_T1_C,79.61696306429549,54.63187325256291
experiment_T1_C,80.43775649794802,54.65051258154706
experiment_T1_C,81.25854993160054,54.40820130475303
experiment_T1_C,82.07934336525308,54.259086672879775
experiment_T1_C,82.9001367989056,54.27772600186393
experiment_T1_C,83.72093023255815,54.24044734389562
experiment_T1_C,84.54172366621067,54.31500465983225
experiment_T1_C,85.3625170998632,54.38956197576887
experiment_T1_C,86.18331053351574,54.613233923578754
experiment_T1_C,87.00410396716826,54.613233923578754
experiment_T1_C,87.82489740082079,54.63187325256291
experiment_T1_C,88.64569083447333,54.706430568499535
experiment_T1_C,89.46648426812585,54.72506989748369
experiment_T1_C,90.28727770177838,54.63187325256291
experiment_T1_C,91.10807113543092,54.65051258154706
experiment_T1_C,91.92886456908344,54.5945945945946
experiment_T1_C,92.74965800273598,54.259086672879775
experiment_T1_C,93.57045143638851,54.22180801491146
experiment_T1_C,94.39124487004104,54.20316868592731
experiment_T1_C,95.21203830369357,54.18452935694315
experiment_T1_C,96.0328317373461,54.20316868592731
experiment_T1_C,96.85362517099863,54.20316868592731
experiment_T1_C,97.67441860465117,54.24044734389562
experiment_T1_C,98.49521203830369,54.426840633737186
experiment_T1_C,99.31600547195623,54.44547996272134
