scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,surface_zone_1_C,surface_zone_2_C,surface_zone_3_C,surface_zone_4_C,surface_zone_5_C,core_zone_1_C,core_zone_2_C,core_zone_3_C,core_zone_4_C,core_zone_5_C,Tmax_C,Tmin_C,hotspot_zone_zero_based,DeltaT_C
two_mass_final_prbs_seed2601,synthetic_final_confirmation,0.0,8.0,30.78,23.0,0.6,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0,0.0
two_mass_final_prbs_seed2601,synthetic_final_confirmation,20.0,8.0,30.78,23.0,0.6,27.587852412264287,27.852566191691565,28.21003417083035,28.54511317559672,28.753317502344615,23.174542221136864,23.184548761187457,23.19804077030824,23.210684599352643,23.218548415336368,29.330632061323062,26.949912636937242,4,2.38071942438582
two_mass_final_prbs_seed2601,synthetic_final_confirmation,40.0,8.0,30.78,23.0,0.6,27.61960904783272,27.886393995636528,28.246735932744897,28.58452064500049,28.79437859756189,23.351347229355632,23.37156260631961,23.39884295600502,23.424411895556297,23.44030598896954,29.376038813811736,26.977633719930303,4,2.3984050938814327
two_mass_final_prbs_seed2601,synthetic_final_confirmation,60.0,8.0,30.78,23.0,0.6,27.650324565690347,27.919113308813362,28.282235857480494,28.622638457853252,28.83409637079213,23.522341395827407,23.552439422234478,23.59307056389627,23.631154918110013,23.654823671867426,29.41996648879217,27.0044432854852,4,2.4155232033069716
two_mass_final_prbs_seed2601,synthetic_final_confirmation,80.0,16.0,28.06,23.0,0.6,27.680033105573774,27.95076046031417,28.316573302186505,28.65950881773988,28.872514764833547,23.687715800484206,23.727380664033255,23.78093884956756,23.83114182825259,23.862337721586815,29.462463265502272,27.030371302383074,4,2.4320919631191984
two_mass_final_prbs_seed2601,synthetic_final_confirmation,100.0,16.0,28.06,23.0,0.6,32.921344941641,33.593292901467535,34.51582549266044,35.39361636972607,35.94969007780164,24.045701645046904,24.1098587947254,24.197054045226263,24.279294819743985,24.330829239604935,37.27183001262466,31.535227900923992,4,5.73660211170067
two_mass_final_prbs_seed2601,synthetic_final_confirmation,120.0,16.0,28.06,23.0,0.6,32.986195122602496,33.66257956952669,34.5913198603217,35.47498724557272,36.034665907157105,24.40129548296449,24.489803079873482,24.610467398160967,24.724582386414447,24.796329025754474,37.3658466176421,31.591802373790507,4,5.774044243851591
two_mass_final_prbs_seed2601,synthetic_final_confirmation,140.0,16.0,28.06,23.0,0.6,33.0489214428301,33.72959714134884,34.66434195876334,35.553693491410854,36.11685904480995,24.74524097429603,24.857301190781378,25.01034229666235,25.155289877749876,25.246583449209226,37.45679754993811,31.64651853670562,4,5.810279013232488
two_mass_final_prbs_seed2601,synthetic_final_confirmation,160.0,32.0,22.619999999999997,23.0,0.6,33.109593462851926,33.79441993193859,34.73497275231917,35.629822368125346,36.19636061843278,25.077919707522874,25.212760861111615,25.397122098684605,25.571894678316475,25.682091815932342,37.54478278829207,31.699437412686343,4,5.845345375605724
two_mass_final_prbs_seed2601,synthetic_final_confirmation,180.0,32.0,22.619999999999997,23.0,0.6,45.20194199205406,47.181372905503345,49.96012474274709,52.65668100330105,54.40773513012416,25.85592327336234,26.062404105007854,26.34747813841379,26.62017864570476,26.794180427508213,57.71600058835411,42.06268776585225,4,15.65331282250186
