scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,surface_zone_1_C,surface_zone_2_C,surface_zone_3_C,surface_zone_4_C,surface_zone_5_C,core_zone_1_C,core_zone_2_C,core_zone_3_C,core_zone_4_C,core_zone_5_C,Tmax_C,Tmin_C,hotspot_zone_zero_based,DeltaT_C
two_mass_calibration_staircase,calibration,0.0,5.0,31.8,23.0,0.6,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0,0.0
two_mass_calibration_staircase,calibration,20.0,5.0,31.8,23.0,0.6,25.79063052921227,25.941481254100438,26.143658650657443,26.33183346941298,26.44764853036113,23.10619507267508,23.111883470257805,23.119493041504647,23.126571564149543,23.130930390736186,26.791352386319375,25.403417741964788,4,1.387934644354587
two_mass_calibration_staircase,calibration,40.0,5.0,31.8,23.0,0.6,25.809846271279373,25.961929103086444,26.165810903409426,26.355587044892435,26.472379388630987,23.2137362725712,23.22524391796044,23.24065436741551,23.254993950796816,23.263821451185436,26.81869811305799,25.420194161522787,4,1.3985039515352042
two_mass_calibration_staircase,calibration,60.0,5.0,31.8,23.0,0.6,25.828431814683952,25.98170676831072,26.187237771209322,26.378563427384428,26.496301447334393,23.31773910673276,23.334882090026543,23.35784895325141,23.37922263442842,23.392378806376314,26.84515340860049,25.4364187399196,4,1.4087346686808893
two_mass_calibration_staircase,calibration,80.0,5.0,31.8,23.0,0.6,25.84640783300015,26.00083621912998,26.207963008082857,26.400788043824203,26.51944115357,23.418320076385434,23.440920258818952,23.47120666213595,23.499394503516523,23.516743692154375,26.870747265375996,25.45210962819246,4,1.4186376371835365
two_mass_calibration_staircase,calibration,100.0,15.0,28.4,23.0,0.6,25.86379432075436,26.019338703887097,26.22800958940137,26.422285488538808,26.541824088942157,23.515591843928853,23.54347667838582,23.580853105954105,23.61564198055347,23.637052744910143,26.895507730703272,25.467284379985,4,1.428223350718273
two_mass_calibration_staircase,calibration,120.0,15.0,28.4,23.0,0.6,32.20694304899541,32.81874253893121,33.65714764508607,34.45360158901983,34.95712904691239,23.850104451436387,23.900436899458832,23.968581385133838,24.032629788550278,24.07258278881654,36.17532131920287,30.921312170996732,4,5.254009148206141
two_mass_calibration_staircase,calibration,140.0,15.0,28.4,23.0,0.6,32.267891237979434,32.883837224653966,33.728038774834246,34.52997652439793,35.036866634818324,24.184910645626402,24.257738604193438,24.356746220653733,24.45014040039038,24.508665556333327,36.26353490209503,30.97448740188423,4,5.289047500210803
two_mass_calibration_staircase,calibration,160.0,15.0,28.4,23.0,0.6,32.326843111472186,32.946799950425515,33.79660839453958,34.60385061390926,35.113993361961754,24.508745084314832,24.603333386562646,24.732199732621645,24.8539835817702,24.93047156226134,36.34887238256445,31.025915763215693,4,5.3229566193487585
two_mass_calibration_staircase,calibration,180.0,15.0,28.4,23.0,0.6,32.3838640622589,33.007700545867486,33.862932531208116,34.67530574838253,35.188594718228536,24.821967355858327,24.9376048553341,25.095358180929722,25.244606716950692,25.338468194477606,36.43142754464393,31.075654626863315,4,5.355772917780616
two_mass_calibration_staircase,calibration,200.0,15.0,28.4,23.0,0.6,32.43901733937586,33.06660655164202,33.92708472015839,34.744421135125734,35.260753392168766,25.12492526204688,25.260924048067377,25.44662419422565,25.622442546760134,25.733107540233714,36.511291111004525,31.123759480038522,4,5.387531630966002
two_mass_calibration_staircase,calibration,220.0,15.0,28.4,23.0,0.6,32.492364119969665,33.12358329617078,33.989136088521924,34.8112733878444,35.33054936485877,25.41795520449248,25.57364984312665,25.7863872162857,25.98790964784515,26.11482688701831,36.58855084576621,31.170283988213065,4,5.418266857553142
two_mass_calibration_staircase,calibration,240.0,15.0,28.4,23.0,0.6,32.54396357717147,33.178693968098386,34.04915543410978,34.87593661156758,35.39805999855149,25.701382558351803,25.876129358191054,26.11502393777443,26.34141289624236,26.484049207028733,36.663291650994275,31.21528005490676,4,5.448011596087515
two_mass_calibration_staircase,calibration,260.0,30.0,23.299999999999997,23.0,0.6,32.59387294574765,33.23199968638211,34.10720930169605,34.93848248479307,35.46336012242415,25.975522033795933,26.1686983357028,26.4328987138661,26.683343915779524,26.841183625784044,36.73559566004769,31.258797879513946,4,5.476797780533747
two_mass_calibration_staircase,calibration,280.0,30.0,23.299999999999997,23.0,0.6,43.7511006302687,45.53953184934987,48.04445555041791,50.47010591572629,52.04083745694625,26.66196122116721,26.91701876214041,27.268097144221045,27.602910047365175,27.81562569657414,55.08894742863876,40.824136324506725,4,14.264811104132036
two_mass_calibration_staircase,calibration,300.0,30.0,23.299999999999997,23.0,0.6,43.879702607899056,45.677706247627356,48.19620823361009,50.63482665143832,52.21356098153949,27.34669615583016,27.66315384394419,28.100480300004158,28.51901390310937,28.786098339434574,55.28018170982853,40.936213820634336,4,14.343967889194197
two_mass_calibration_staircase,calibration,320.0,30.0,23.299999999999997,23.0,0.6,44.00410107798913,45.81136048315556,48.34299087535747,50.79414712598185,52.38061840331612,28.009147345920113,28.384930007542906,28.90559473222974,29.40501615245932,29.724613241288694,55.46516847764861,41.04461727999063,4,14.420551197657979
two_mass_calibration_staircase,calibration,340.0,30.0,23.299999999999997,23.0,0.6,44.12443340337078,45.94064240892736,48.484966258257245,50.948244419980036,52.542195651134165,28.65003926445755,29.083142131618953,29.684333812629866,30.261906361683625,30.63222362594314,55.64411192251908,41.14946707190993,4,14.494644850609149
two_mass_calibration_staircase,calibration,360.0,30.0,23.299999999999997,23.0,0.6,44.240832456567766,46.065695039346785,48.62229182969802,51.09728980246574,52.69847254695586,29.270072858368785,29.75855917010938,30.43756164260015,31.090641548070714,31.509947974465017,55.81720955267602,41.25087962299936,4,14.566329929676655
two_mass_calibration_staircase,calibration,380.0,30.0,23.299999999999997,23.0,0.6,44.353426769473586,46.18665671169286,48.7551198801589,51.24144892535496,52.84962301036394,29.86992631140623,30.41192499721114,31.166114012271677,31.892147251189236,32.358771172427765,55.98465241831687,41.34896754810947,4,14.635684870207399
two_mass_calibration_staircase,calibration,400.0,30.0,23.299999999999997,23.0,0.6,44.46234067509827,46.30366123905101,48.883597712121606,51.38088200771502,52.99581525236696,30.450255782373365,31.043959224869717,31.87079932816212,32.6673185688727,33.17964561923537,56.146625322880354,41.44383977502763,4,14.702785547852727
two_mass_calibration_staircase,calibration,420.0,30.0,23.299999999999997,23.0,0.6,44.567694444688236,46.41683805824509,49.0078678034496,51.515744013986605,53.1372119628387,31.011696119447368,31.655357993640028,32.552399510428565,33.41702115908436,33.97349230077446,56.30330702741001,41.53560166509642,4,14.767705362313585
two_mass_calibration_staircase,calibration,440.0,40.0,19.9,23.0,0.6,44.66960442037017,46.52631237293313,49.12806796541581,51.64618482635739,53.273970491800334,31.554861551371257,32.246794737785876,33.211670860718534,34.142092208787744,34.741201826607444,56.45487044822719,41.62435512988981,4,14.830515318337383
two_mass_calibration_staircase,calibration,460.0,40.0,19.9,23.0,0.6,53.06461385072759,56.06548639713647,60.31190445071311,64.45859852198095,67.17007527675005,32.394222785010136,33.17667596716308,34.27016018760785,35.32666269848987,36.00865862037573,71.89206433270765,48.799681578185,4,23.092382754522646
two_mass_calibration_staircase,calibration,480.0,40.0,19.9,23.0,0.6,53.22391771226748,56.23740222158107,60.50187547499959,64.66591399286256,67.38813534409775,33.22252861193416,34.093787912973646,35.31349068318404,36.49369294113328,37.256915514166714,72.13371384555649,48.93836584463537,4,23.195348000921115
two_mass_calibration_staircase,calibration,500.0,40.0,19.9,23.0,0.6,53.37802257829943,56.40369890732551,60.685624319102814,64.86642686482249,67.59903263131385,34.02402525976018,34.98104079489595,36.32263243953715,37.622277397008475,38.463905954166286,72.36745770839192,49.0725109563233,4,23.294946752068626
two_mass_calibration_staircase,calibration,520.0,40.0,19.9,23.0,0.6,53.527098037652934,56.564560071401914,60.86335479225296,65.06036042292614,67.80300253267919,34.79957875525512,35.8394058929395,37.29870589845427,38.71368365918872,39.63099599184457,72.5935547196554,49.20226535736933,4,23.391289362286074
two_mass_calibration_staircase,calibration,540.0,40.0,19.9,23.0,0.6,53.67130814819281,56.720163330149845,61.03526402478822,65.24793061770012,68.00027269940533,35.550027214110926,36.669822925170244,38.24279477807049,39.76913748749973,40.75950639041927,72.81225519550132,49.3277726405517,4,23.484482554949622
two_mass_calibration_staircase,calibration,560.0,40.0,19.9,23.0,0.6,53.81081161942257,56.870680497752495,61.20154268976287,65.4293463090956,68.19106329755803,36.27618173801177,37.473201072082276,39.15594727667699,40.78982419056929,41.85071412879361,73.02380125228922,49.44917170720769,4,23.574629545081528
two_mass_calibration_staircase,calibration,580.0,40.0,19.9,23.0,0.6,53.94576198672334,57.016277775705795,61.362375214476224,65.60480949939574,68.37558725431575,36.978827282968645,38.25041996777433,40.039177237067015,41.7768899621683,42.90585385546378,73.22842707541204,49.56659692033624,4,23.661830155075805
two_mass_calibration_staircase,calibration,600.0,40.0,19.9,23.0,0.6,54.07630777992093,57.15711593610305,61.51793998507233,65.77451555846864,68.55405049612109,37.65872349983313,39.00233065899983,40.893465272709214,42.73144317335231,43.92611929405684,73.42635917930258,49.68017825271105,4,23.746180926591528
two_mass_calibration_staircase,calibration,620.0,10.0,30.1,23.0,0.6,54.20259268636559,57.29335049893682,61.668409544436315,65.93865344161877,68.72665217899166,38.31660554787947,39.729756533130576,41.719759856999126,43.65455562186703,44.91266460211344,73.61781665890808,49.790041430166255,4,23.827775228741828
two_mass_calibration_staircase,calibration,640.0,10.0,30.1,23.0,0.6,31.637432156774732,32.19898159233151,32.9742187222475,33.70833423828152,34.16492986693379,38.093340794514845,39.47598963234836,41.42251292858679,43.31420132071277,44.5433058650907,35.317419844745125,30.463303145390114,4,4.854116699355011
