time_s,experiment_middle_C,experiment_T1_C,experiment_T2_C,paper_simulation_middle_C,paper_simulation_T1_C,paper_simulation_T2_C
700.0,54.355421686746986,55.15060240963855,54.869477911646584,54.769076305220885,54.696787148594375,54.7289156626506
701.0,54.3831485943775,55.094698795180726,54.87744578313253,54.761172690763054,54.69672289156626,54.72496385542169
702.0,54.40660240963856,54.61389558232929,54.8860562248996,54.76894779116466,54.69277108433735,54.73293172690763
703.0,54.46858853596203,54.57248192771084,54.86584738955823,54.77309236947791,54.69277108433735,54.736755020080324
704.0,54.571541438481205,54.650297188755026,54.85367068273092,54.769076305220885,54.69277108433735,54.72515662650603
705.0,54.67449434100036,54.8855421686747,54.801526104417675,54.77277108433734,54.69277108433735,54.71718875502008
706.0,54.777447243519525,54.8618313253012,54.68072289156626,54.77309236947791,54.716096385542166,54.716481927710845
707.0,54.8804001460387,54.87980990629184,54.933702811244984,54.77309236947791,54.73293172690763,54.70125301204819
708.0,54.983353048557866,54.8987844712182,54.97090763052209,54.769076305220885,54.73694779116466,54.69328514056225
709.0,55.08630595107704,54.91775903614458,54.96184738955823,54.7725140562249,54.73694779116466,54.69277108433735
710.0,55.18925885359621,54.93673360107095,54.79831325301205,54.769076305220885,54.74032128514057,54.685381526104415
711.0,55.15130923694779,54.94318072289157,54.810425702811244,54.769076305220885,54.74025702811245,54.68473895582329
712.0,55.153076305220885,54.970040160642576,54.83102008032129,54.769076305220885,54.74497991967871,54.67098795180723
713.0,54.9913092369478,54.93103614457832,54.84772690763052,54.769076305220885,54.74899598393574,54.670345381526104
714.0,54.71268273092369,54.599084337349396,54.85341365461847,54.76997590361446,54.74899598393574,54.667775100401606
715.0,54.43405622489961,54.59060240963856,54.84441767068273,54.77212851405622,54.74497991967871,54.674779116465864
716.0,54.352626506024095,54.636546184738954,54.83837751004016,54.77710843373494,54.74395180722892,54.682682730923695
717.0,54.29473092369478,54.643485943775104,54.830409638554215,54.77710843373494,54.73804016064257,54.69167871485944
718.0,54.373081659973195,54.821285140562246,54.60114056224901,54.77710843373494,54.738104417670684,54.70250602409639
719.0,54.884321285140565,54.81325301204819,54.337911646586335,54.78112449799197,54.724835341365456,54.710056224899596
720.0,54.89807228915662,54.82,54.35317269076305,54.783855421686745,54.68746987951807,54.719598393574294
721.0,54.90606157965194,54.84804819277109,54.32859437751004,54.785140562249,54.700803212851405,54.72355020080322
722.0,54.91405087014726,54.85341365461847,54.62790361445783,54.785140562249,54.704819277108435,54.735534136546185
723.0,54.92204016064257,54.83882730923695,54.76702008032127,54.78915662650603,54.708835341365464,54.74096385542169
724.0,54.930029451137884,54.84383935742972,54.821285140562246,54.79317269076305,54.708835341365464,54.738489959839356
725.0,54.9380187416332,54.84939759036145,54.81726907630522,54.79317269076305,54.71124497991968,54.74096385542169
726.0,54.9732530120482,54.63718875502008,54.829991967871486,54.795518072289155,54.86334939759036,54.73627309236948
727.0,55.03532530120482,54.616787148594376,54.890104417670685,54.79718875502008,54.770473895582334,54.73293172690763
728.0,55.070698795180725,54.54279518072289,54.8783453815261,54.79718875502008,54.7570281124498,54.7289156626506
729.0,54.78931726907629,54.548481927710846,54.87966265060241,54.80335742971887,54.761044176706825,54.719309236947794
730.0,54.69277108433735,54.55397590361446,54.9314859437751,54.803293172690765,54.76714859437751,54.71686746987952
731.0,54.70529828404527,54.51808835341365,54.9497670682731,54.80120481927711,54.769076305220885,54.71484337349398
732.0,54.72218473895582,54.55884566838783,54.725831325301215,54.811196787148596,54.77309236947791,54.71285140562249
733.0,54.73907119386638,54.62047733792312,54.512947791164656,54.81726907630522,54.785140562249,54.71686746987952
734.0,54.75595764877692,54.669028112449794,54.43828112449799,54.81945381526104,54.78915662650603,54.71869879518072
735.0,54.772844103687476,55.018393574297185,54.50883534136546,54.821285140562246,54.78915662650603,54.72666666666667
736.0,54.78973055859802,55.0140562248996,54.54077108433735,54.821285140562246,54.78915662650603,54.73463453815261
737.0,54.80661701350858,55.00750200803213,54.54016064257028,54.825301204819276,54.790795180722895,54.74096385542169
738.0,54.82350346841913,54.912240963855425,54.534409638554216,54.822859437751,54.78671485943775,54.746554216867466
739.0,54.84038992332968,54.279630522088354,54.635582329317266,54.829317269076306,54.79317269076305,54.761044176706825
740.0,54.857276378240236,54.26706827309237,54.672048192771086,54.83477911646586,54.79553643144005,54.76795180722891
741.0,54.874162833150784,54.2429718875502,54.631148594377514,54.83734939759036,54.78184050487665,54.78112449799197
742.0,54.89104928806134,54.50106024096383,54.579325301204825,54.84268273092369,54.768144578313255,54.79317269076305
743.0,54.90793574297189,54.87850602409639,54.5466827309237,54.846634538152614,54.769076305220885,54.803967871485945
744.0,54.92482219788244,54.728626506024085,54.59163052208835,54.84939759036145,54.77309236947791,54.80804819277108
745.0,54.94170865279299,54.25405622489959,54.68184738955823,54.85855421686747,54.774216867469875,54.80522088353413
746.0,54.95063453815261,54.16750200803213,54.66253815261044,54.86144578313253,54.78112449799197,54.80628112449799
747.0,54.95375100401606,54.17318875502008,54.60448192771084,54.858425702811246,54.81119678714859,54.80522088353413
748.0,54.992112449799194,54.32393574297189,54.49505220883534,54.870409638554214,54.829317269076306,54.8042891566265
749.0,54.96586345381526,54.758763052208835,54.525831325301205,54.873493975903614,54.833333333333336,54.80750200803213
750.0,54.68489959839359,54.9144578313253,54.56265060240963,54.877510040160644,54.83413654618474,54.79718875502008
751.0,54.331004016064256,54.93521285140562,54.6698313253012,54.8848032128514,54.84612048192771,54.79317269076305
752.0,54.34806425702811,54.87118072289159,54.74096385542169,54.882200803212854,54.85408835341365,54.79384738955823
753.0,54.459453815261135,54.61595180722891,54.74096385542169,54.89016867469879,54.85804016064257,54.79718875502008
754.0,55.06536546184739,54.54655421686747,54.74790361445783,54.893574297188756,54.86546184738956,54.79664257028112
755.0,54.99751004016064,54.50706827309237,54.71991967871486,54.89807228915663,54.865943775100405,54.801686746987954
756.0,55.10616867469879,54.49004016064257,54.66314859437751,54.90202409638554,54.869060240963854,54.81367068273092
757.0,55.106425702811244,54.97566265060241,54.69312449799197,54.90562248995984,54.86912449799197,54.825301204819276
758.0,55.114168674698796,54.99426506024096,54.70427309236948,54.90992771084338,54.86976706827309,54.837927710843374
759.0,55.13877911646586,54.66231325301204,54.767726907630525,54.9136546184739,54.87052530120482,54.84939759036145
760.0,55.129879518072286,54.90293746414228,54.71654618473895,54.92538152610442,54.862136546184736,54.857751004016066
761.0,54.978641422834194,54.91663339070568,54.6964016064257,54.92579919678715,54.85374779116466,54.873590361445785
762.0,55.069376936316694,54.93032931726908,54.70099598393574,54.92978313253012,54.845413654618476,54.88155823293173
763.0,55.1601124497992,54.94402524383247,54.98861044176709,54.933734939759034,54.853381526104414,54.893574297188756
764.0,55.19085943775101,54.95772117039587,55.07869879518072,54.937751004016064,54.85733333333333,54.88563855421687
765.0,55.18305220883534,54.787443105756374,55.02738955823293,54.941606425702815,55.1506024096385,54.89325301204819
766.0,55.18273092369478,54.75368674698795,54.9136546184739,54.941767068273094,55.036535475234274,54.88576706827309
767.0,55.089783132530115,54.734088353413654,54.85402409638555,54.945783132530124,54.90870682730924,54.87779919678715
768.0,55.14587951807229,54.73884337349398,54.84538152610442,54.94979919678715,54.90562248995984,54.880819277108436
769.0,55.196289156626506,54.768658634538156,55.03037751004016,54.94979919678715,54.9136546184739,54.87031325301205
770.0,55.26465863453816,54.75590361445783,55.04072289156626,54.95381526104418,54.920722891566264,54.86995983935743
771.0,55.33717269076305,54.70665060240964,55.01386345381526,54.958377510040165,54.92570281124498,54.86546184738956
772.0,55.34738955823293,55.121975903614455,54.79439357429719,54.96184738955823,54.92910843373494,54.86886746987952
773.0,55.27156626506024,55.14425702811245,54.78983132530121,54.96184738955823,54.933734939759034,54.86077108433735
774.0,55.191673360107096,54.67914859437754,54.81431325301205,54.96184738955823,54.937751004016064,54.86144578313253
775.0,55.11178045515394,54.525702811244976,55.006024096385545,54.96586345381526,54.940963855421685,54.85823293172691
