time_s,experiment_current_A,paper_simulation_current_A
0.0,9.972067039106147,6.32216014897579
1.0,9.997648975791435,7.1065642458100555
2.0,10.000093109869647,9.613594040968344
3.0,9.974185288640598,9.613594040968344
4.0,9.911452513966482,9.613594040968344
5.0,9.906890130353819,9.613594040968344
6.0,9.906890130353819,9.613594040968344
7.0,9.906890130353819,9.613594040968344
8.0,9.906890130353819,9.613594040968344
9.0,9.891655027932961,9.613594040968344
10.0,9.87918994413408,9.613594040968344
11.0,9.918784916201119,9.625488826815644
12.0,9.939478584729983,9.627281191806333
13.0,9.939478584729983,9.639501862197395
14.0,9.939152700186222,9.613594040968344
15.0,9.906890130353819,9.613594040968344
16.0,9.906890130353819,9.613594040968344
17.0,9.928235567970207,9.613594040968344
18.0,9.967830540037246,9.641945996275608
19.0,10.007425512104284,9.613594040968344
20.0,10.056797020484172,9.613594040968344
21.0,10.05207169459963,9.613594040968344
22.0,9.933286778398513,9.613594040968344
23.0,9.876094040968344,9.613594040968344
24.0,9.768715083798885,9.613594040968344
25.0,9.397695530726258,9.613594040968344
26.0,9.398836126629424,9.613594040968344
27.0,9.385474860335197,9.613594040968344
28.0,9.319646182495346,9.613594040968344
29.0,9.295367783985103,9.613594040968344
30.0,9.305633147113596,9.613594040968344
31.0,9.287709497206706,9.613594040968344
32.0,9.31638733705773,9.613594040968344
33.0,9.43191340782123,9.613594040968344
34.0,9.894506517690877,9.613594040968344
35.0,9.956587523277468,9.613594040968344
36.0,9.972067039106147,9.613594040968344
37.0,9.972067039106147,9.613594040968344
38.0,9.98868715083799,9.613594040968344
39.0,10.032192737430169,9.613594040968344
40.0,9.95251396648045,9.633147113594042
41.0,9.939478584729983,9.619622905027935
42.0,9.973044692737432,9.613594040968344
43.0,10.02860800744879,9.613594040968344
44.0,10.087430167597766,9.613594040968344
45.0,10.09182960893855,9.613594040968344
46.0,10.044413407821231,9.613594040968344
47.0,10.037243947858475,9.613594040968344
48.0,10.026815642458102,9.613594040968344
49.0,10.056959962756054,9.613594040968344
50.0,10.126862197392926,9.613594040968344
51.0,10.07211359404097,9.613594040968344
52.0,10.069832402234638,9.613594040968344
53.0,10.005470204841714,9.613594040968344
54.0,9.58882681564246,9.613594040968344
55.0,9.412360335195533,9.613594040968344
56.0,9.939478584729983,9.613594040968344
57.0,9.947788640595904,9.613594040968344
58.0,9.972067039106147,9.613594040968344
59.0,9.99439013035382,9.613594040968344
60.0,10.063314711359405,9.613594040968344
61.0,10.06608472998138,9.613594040968344
62.0,10.02648975791434,9.613594040968344
63.0,10.02241620111732,9.613594040968344
64.0,10.037243947858475,9.613594040968344
65.0,10.005470204841714,9.613594040968344
66.0,9.978258845437617,9.613594040968344
67.0,10.00465549348231,9.613594040968344
68.0,10.00465549348231,9.613594040968344
69.0,10.031866852886408,9.613594040968344
70.0,9.660847299813781,9.613594040968344
71.0,9.328933891992552,9.613594040968344
72.0,9.368528864059591,9.613594040968344
73.0,9.40812383612663,9.613594040968344
74.0,9.388407821229052,9.613594040968344
75.0,9.352886405959033,9.613594040968344
76.0,9.352886405959033,9.613594040968344
77.0,9.352886405959033,9.613594040968344
78.0,9.352886405959033,9.613594040968344
79.0,9.352886405959033,9.613594040968344
80.0,9.352886405959033,9.607076350093111
81.0,9.352886405959033,9.58100558659218
82.0,9.352886405959033,9.58100558659218
83.0,9.352886405959033,9.608542830540038
84.0,9.387430167597767,9.613594040968344
85.0,9.534567039106149,9.613594040968344
86.0,9.857681564245812,9.613594040968344
87.0,9.874301675977655,9.613594040968344
88.0,9.904283054003725,9.613594040968344
89.0,9.939478584729983,9.613594040968344
90.0,9.95088454376164,9.613594040968344
91.0,9.972067039106147,9.613594040968344
92.0,9.972067039106147,9.613594040968344
93.0,9.90721601489758,9.613594040968344
94.0,9.339199255121045,9.613594040968344
95.0,9.287709497206706,9.613594040968344
96.0,9.30856610800745,9.63445065176909
97.0,9.26457169459963,9.646182495344508
98.0,9.285428305400375,9.643901303538177
99.0,9.264408752327748,9.613594040968344
100.0,9.304003724394788,9.613594040968344
101.0,9.273696461824954,9.613594040968344
102.0,9.224813780260709,9.583286778398511
