time_s,experiment_middle_C,experiment_T1_C,experiment_T2_C,paper_simulation_middle_C,paper_simulation_T1_C,paper_simulation_T2_C
200.0,54.214285714285715,54.79545454545455,54.47077922077922,54.9025974025974,54.32142857142857,54.87662337662338
201.0,54.26698701298701,54.70983116883117,54.425512987012986,54.904824675324676,54.451569430569435,54.87662337662338
202.0,54.33325360750361,54.76623376623377,54.468363636363634,54.91558441558441,54.58171028971029,54.87254545454546
203.0,54.394541305916306,54.69162012987013,54.5727012987013,54.915772727272724,54.71185114885115,54.876435064935066
204.0,54.455829004329004,54.5942380952381,54.701896103896104,54.924493506493505,54.841992007992005,54.87420779220779
205.0,54.5171167027417,54.54363636363637,54.77737012987013,54.929967532467536,54.951298701298704,54.87662337662338
206.0,54.5784044011544,54.44532467532468,54.77409090909091,54.93544155844156,54.96141558441558,54.87662337662338
207.0,54.6396920995671,54.44477272727273,54.74607792207792,54.94416233766234,54.97274025974026,54.87337662337662
208.0,54.7009797979798,54.45431168831169,54.66090909090909,54.949636363636365,54.978857142857144,54.870051948051945
209.0,54.7622674963925,54.39948701298701,54.654714285714284,54.95454545454545,54.99025974025974,54.88198701298701
210.0,54.823555194805195,54.32,54.6962987012987,54.960584415584414,54.993506493506494,54.87337662337662
211.0,54.88484289321789,54.441577922077926,54.790175324675324,54.96605844155844,54.99498051948052,54.89138311688312
212.0,54.94613059163059,54.55722077922078,55.062675324675325,54.96903896103896,55.0,54.90085714285714
213.0,55.00741829004329,54.5595064935065,55.10203246753247,54.97727272727273,55.0,54.91558441558441
214.0,55.06870598845599,54.64562337662338,54.83361038961039,54.98248051948052,55.054233766233764,54.92796103896104
215.0,55.11772727272727,54.65532467532467,54.77409090909091,54.98701298701299,55.08474141929499,54.94019480519481
216.0,55.078155844155845,54.61727272727273,54.746753246753244,54.99025974025974,55.08131539888683,54.95122077922078
217.0,55.022681818181816,54.54975324675325,54.72306493506493,54.996753246753244,55.077889378478666,54.96533766233766
218.0,55.027103896103895,54.55081818181818,54.68605194805195,55.00112987012987,55.0744633580705,54.967532467532465
219.0,54.863525974025976,54.55574675324675,54.67185714285714,55.006493506493506,55.07103733766234,54.97760389610389
220.0,54.83194805194805,54.58493506493507,54.66467532467532,55.006493506493506,55.06761131725417,54.98233766233766
221.0,54.835678571428566,54.62772077922078,54.68181818181818,55.00781168831169,55.064185296846006,54.97859090909091
