curve,pixel_x,pixel_y,color_distance,data_x,data_y
experiment_middle_C,2593,1879,37.3496987939662,938.9410187667561,56.41566265060241
experiment_middle_C,2594,1879,26.324893162176366,939.2761394101876,56.41566265060241
experiment_middle_C,2595,1879,30.4138126514911,939.6112600536193,56.41566265060241
experiment_middle_C,2596,1879,33.34666400106613,939.9463806970509,56.41566265060241
experiment_middle_C,2597,1879,43.9089968002003,940.2815013404826,56.41566265060241
experiment_middle_C,2592,1880,37.48332962798263,938.6058981233244,56.411646586345384
experiment_middle_C,2593,1880,18.867962264113206,938.9410187667561,56.411646586345384
experiment_middle_C,2594,1880,11.874342087037917,939.2761394101876,56.411646586345384
experiment_middle_C,2595,1880,8.48528137423857,939.6112600536193,56.411646586345384
experiment_middle_C,2596,1880,12.68857754044952,939.9463806970509,56.411646586345384
experiment_middle_C,2597,1880,22.40535650240808,940.2815013404826,56.411646586345384
experiment_middle_C,2598,1880,38.50973902793941,940.6166219839142,56.411646586345384
experiment_middle_C,2530,1881,39.408120990476064,917.828418230563,56.407630522088354
experiment_middle_C,2531,1881,27.820855486487112,918.1635388739946,56.407630522088354
experiment_middle_C,2532,1881,30.870698080866262,918.4986595174263,56.407630522088354
experiment_middle_C,2533,1881,29.88310559496787,918.8337801608579,56.407630522088354
experiment_middle_C,2534,1881,28.61817604250837,919.1689008042895,56.407630522088354
experiment_middle_C,2535,1881,38.34057902536163,919.5040214477212,56.407630522088354
experiment_middle_C,2592,1881,28.160255680657446,938.6058981233244,56.407630522088354
experiment_middle_C,2593,1881,11.357816691600547,938.9410187667561,56.407630522088354
experiment_middle_C,2594,1881,13.30413469565007,939.2761394101876,56.407630522088354
experiment_middle_C,2595,1881,14.352700094407323,939.6112600536193,56.407630522088354
experiment_middle_C,2596,1881,6.6332495807108,939.9463806970509,56.407630522088354
experiment_middle_C,2597,1881,11.445523142259598,940.2815013404826,56.407630522088354
experiment_middle_C,2598,1881,29.949958263743873,940.6166219839142,56.407630522088354
experiment_middle_C,2530,1882,31.464265445104548,917.828418230563,56.403614457831324
experiment_middle_C,2531,1882,20.46948949045872,918.1635388739946,56.403614457831324
experiment_middle_C,2532,1882,25.019992006393608,918.4986595174263,56.403614457831324
experiment_middle_C,2533,1882,17.916472867168917,918.8337801608579,56.403614457831324
experiment_middle_C,2534,1882,17.72004514666935,919.1689008042895,56.403614457831324
experiment_middle_C,2535,1882,31.336879231984796,919.5040214477212,56.403614457831324
experiment_middle_C,2536,1882,47.05316142407437,919.8391420911528,56.403614457831324
experiment_middle_C,2592,1882,22.338307903688676,938.6058981233244,56.403614457831324
experiment_middle_C,2593,1882,5.0,938.9410187667561,56.403614457831324
experiment_middle_C,2594,1882,17.74823934929885,939.2761394101876,56.403614457831324
experiment_middle_C,2595,1882,18.708286933869708,939.6112600536193,56.403614457831324
experiment_middle_C,2596,1882,12.36931687685298,939.9463806970509,56.403614457831324
experiment_middle_C,2597,1882,14.89966442575134,940.2815013404826,56.403614457831324
experiment_middle_C,2598,1882,27.331300737432898,940.6166219839142,56.403614457831324
experiment_middle_C,2529,1883,45.552167895721496,917.4932975871313,56.399598393574294
experiment_middle_C,2530,1883,23.790754506740637,917.828418230563,56.399598393574294
experiment_middle_C,2531,1883,9.1104335791443,918.1635388739946,56.399598393574294
experiment_middle_C,2532,1883,9.848857801796104,918.4986595174263,56.399598393574294
experiment_middle_C,2533,1883,10.677078252031311,918.8337801608579,56.399598393574294
experiment_middle_C,2534,1883,8.306623862918075,919.1689008042895,56.399598393574294
experiment_middle_C,2535,1883,11.090536506409418,919.5040214477212,56.399598393574294
experiment_middle_C,2536,1883,31.160872901765767,919.8391420911528,56.399598393574294
experiment_middle_C,2592,1883,23.259406699226016,938.6058981233244,56.399598393574294
experiment_middle_C,2593,1883,6.48074069840786,938.9410187667561,56.399598393574294
experiment_middle_C,2594,1883,19.672315572906,939.2761394101876,56.399598393574294
experiment_middle_C,2595,1883,23.790754506740637,939.6112600536193,56.399598393574294
experiment_middle_C,2596,1883,17.029386365926403,939.9463806970509,56.399598393574294
experiment_middle_C,2597,1883,16.673332000533065,940.2815013404826,56.399598393574294
experiment_middle_C,2598,1883,28.948229652260256,940.6166219839142,56.399598393574294
experiment_middle_C,2529,1884,49.3254498205541,917.4932975871313,56.39558232931727
experiment_middle_C,2530,1884,23.62202362203543,917.828418230563,56.39558232931727
experiment_middle_C,2531,1884,10.488088481701515,918.1635388739946,56.39558232931727
experiment_middle_C,2532,1884,6.782329983125268,918.4986595174263,56.39558232931727
experiment_middle_C,2533,1884,8.774964387392123,918.8337801608579,56.39558232931727
experiment_middle_C,2534,1884,8.246211251235321,919.1689008042895,56.39558232931727
experiment_middle_C,2535,1884,8.366600265340756,919.5040214477212,56.39558232931727
experiment_middle_C,2536,1884,25.632011235952593,919.8391420911528,56.39558232931727
experiment_middle_C,2592,1884,28.337254630609507,938.6058981233244,56.39558232931727
experiment_middle_C,2593,1884,7.874007874011811,938.9410187667561,56.39558232931727
experiment_middle_C,2594,1884,18.05547008526779,939.2761394101876,56.39558232931727
experiment_middle_C,2595,1884,24.06241883103193,939.6112600536193,56.39558232931727
experiment_middle_C,2596,1884,17.52141546793523,939.9463806970509,56.39558232931727
experiment_middle_C,2597,1884,17.26267650163207,940.2815013404826,56.39558232931727
experiment_middle_C,2598,1884,31.272991542223778,940.6166219839142,56.39558232931727
experiment_middle_C,2530,1885,22.11334438749598,917.828418230563,56.39156626506024
experiment_middle_C,2531,1885,8.602325267042627,918.1635388739946,56.39156626506024
experiment_middle_C,2532,1885,6.708203932499369,918.4986595174263,56.39156626506024
experiment_middle_C,2533,1885,9.433981132056603,918.8337801608579,56.39156626506024
experiment_middle_C,2534,1885,11.180339887498949,919.1689008042895,56.39156626506024
experiment_middle_C,2535,1885,13.038404810405298,919.5040214477212,56.39156626506024
experiment_middle_C,2536,1885,25.709920264364882,919.8391420911528,56.39156626506024
experiment_middle_C,2592,1885,28.337254630609507,938.6058981233244,56.39156626506024
experiment_middle_C,2593,1885,4.58257569495584,938.9410187667561,56.39156626506024
experiment_middle_C,2594,1885,16.401219466856727,939.2761394101876,56.39156626506024
experiment_middle_C,2595,1885,20.396078054371138,939.6112600536193,56.39156626506024
experiment_middle_C,2596,1885,14.035668847618199,939.9463806970509,56.39156626506024
experiment_middle_C,2597,1885,13.45362404707371,940.2815013404826,56.39156626506024
experiment_middle_C,2598,1885,30.099833886584822,940.6166219839142,56.39156626506024
experiment_middle_C,2530,1886,28.460498941515414,917.828418230563,56.38755020080321
experiment_middle_C,2531,1886,8.717797887081348,918.1635388739946,56.38755020080321
experiment_middle_C,2532,1886,8.660254037844387,918.4986595174263,56.38755020080321
experiment_middle_C,2533,1886,9.273618495495704,918.8337801608579,56.38755020080321
experiment_middle_C,2534,1886,15.7797338380595,919.1689008042895,56.38755020080321
experiment_middle_C,2535,1886,12.529964086141668,919.5040214477212,56.38755020080321
experiment_middle_C,2536,1886,21.400934559032695,919.8391420911528,56.38755020080321
experiment_middle_C,2592,1886,30.805843601498726,938.6058981233244,56.38755020080321
experiment_middle_C,2593,1886,9.0,938.9410187667561,56.38755020080321
experiment_middle_C,2594,1886,14.491376746189438,939.2761394101876,56.38755020080321
experiment_middle_C,2595,1886,17.97220075561143,939.6112600536193,56.38755020080321
experiment_middle_C,2596,1886,12.083045973594572,939.9463806970509,56.38755020080321
experiment_middle_C,2597,1886,7.3484692283495345,940.2815013404826,56.38755020080321
experiment_middle_C,2598,1886,29.13760456866693,940.6166219839142,56.38755020080321
experiment_middle_C,2530,1887,21.283796653792763,917.828418230563,56.38353413654618
experiment_middle_C,2531,1887,5.744562646538029,918.1635388739946,56.38353413654618
experiment_middle_C,2532,1887,4.47213595499958,918.4986595174263,56.38353413654618
experiment_middle_C,2533,1887,11.40175425099138,918.8337801608579,56.38353413654618
experiment_middle_C,2534,1887,14.491376746189438,919.1689008042895,56.38353413654618
experiment_middle_C,2535,1887,8.602325267042627,919.5040214477212,56.38353413654618
experiment_middle_C,2536,1887,19.949937343260004,919.8391420911528,56.38353413654618
experiment_middle_C,2592,1887,26.476404589747453,938.6058981233244,56.38353413654618
experiment_middle_C,2593,1887,9.433981132056603,938.9410187667561,56.38353413654618
experiment_middle_C,2594,1887,14.177446878757825,939.2761394101876,56.38353413654618
experiment_middle_C,2595,1887,16.76305461424021,939.6112600536193,56.38353413654618
experiment_middle_C,2596,1887,10.0,939.9463806970509,56.38353413654618
experiment_middle_C,2597,1887,5.0,940.2815013404826,56.38353413654618
experiment_middle_C,2598,1887,26.324893162176366,940.6166219839142,56.38353413654618
experiment_middle_C,2530,1888,14.317821063276353,917.828418230563,56.37951807228916
experiment_middle_C,2531,1888,14.352700094407323,918.1635388739946,56.37951807228916
experiment_middle_C,2532,1888,8.306623862918075,918.4986595174263,56.37951807228916
experiment_middle_C,2533,1888,8.12403840463596,918.8337801608579,56.37951807228916
experiment_middle_C,2534,1888,16.911534525287763,919.1689008042895,56.37951807228916
experiment_middle_C,2535,1888,5.0,919.5040214477212,56.37951807228916
experiment_middle_C,2536,1888,21.400934559032695,919.8391420911528,56.37951807228916
experiment_middle_C,2591,1888,44.090815370097204,938.2707774798928,56.37951807228916
experiment_middle_C,2592,1888,13.19090595827292,938.6058981233244,56.37951807228916
experiment_middle_C,2593,1888,8.06225774829855,938.9410187667561,56.37951807228916
experiment_middle_C,2594,1888,8.246211251235321,939.2761394101876,56.37951807228916
experiment_middle_C,2595,1888,7.681145747868608,939.6112600536193,56.37951807228916
experiment_middle_C,2596,1888,8.12403840463596,939.9463806970509,56.37951807228916
experiment_middle_C,2597,1888,5.0990195135927845,940.2815013404826,56.37951807228916
experiment_middle_C,2598,1888,24.819347291981714,940.6166219839142,56.37951807228916
experiment_middle_C,2530,1889,10.862780491200215,917.828418230563,56.37550200803213
experiment_middle_C,2531,1889,19.078784028338912,918.1635388739946,56.37550200803213
experiment_middle_C,2532,1889,8.306623862918075,918.4986595174263,56.37550200803213
experiment_middle_C,2533,1889,6.48074069840786,918.8337801608579,56.37550200803213
experiment_middle_C,2534,1889,17.97220075561143,919.1689008042895,56.37550200803213
experiment_middle_C,2535,1889,4.358898943540674,919.5040214477212,56.37550200803213
experiment_middle_C,2536,1889,21.400934559032695,919.8391420911528,56.37550200803213
experiment_middle_C,2591,1889,44.01136216933077,938.2707774798928,56.37550200803213
experiment_middle_C,2592,1889,6.324555320336759,938.6058981233244,56.37550200803213
experiment_middle_C,2593,1889,8.94427190999916,938.9410187667561,56.37550200803213
experiment_middle_C,2594,1889,7.3484692283495345,939.2761394101876,56.37550200803213
experiment_middle_C,2595,1889,5.830951894845301,939.6112600536193,56.37550200803213
experiment_middle_C,2596,1889,8.306623862918075,939.9463806970509,56.37550200803213
experiment_middle_C,2597,1889,5.0990195135927845,940.2815013404826,56.37550200803213
experiment_middle_C,2598,1889,22.38302928559939,940.6166219839142,56.37550200803213
experiment_middle_C,2530,1890,11.704699910719626,917.828418230563,56.3714859437751
experiment_middle_C,2531,1890,16.186414056238647,918.1635388739946,56.3714859437751
experiment_middle_C,2532,1890,7.615773105863909,918.4986595174263,56.3714859437751
experiment_middle_C,2533,1890,5.0,918.8337801608579,56.3714859437751
experiment_middle_C,2534,1890,15.0996688705415,919.1689008042895,56.3714859437751
experiment_middle_C,2535,1890,3.3166247903554,919.5040214477212,56.3714859437751
experiment_middle_C,2536,1890,22.561028345356956,919.8391420911528,56.3714859437751
experiment_middle_C,2591,1890,38.79432948254165,938.2707774798928,56.3714859437751
experiment_middle_C,2592,1890,6.082762530298219,938.6058981233244,56.3714859437751
experiment_middle_C,2593,1890,8.94427190999916,938.9410187667561,56.3714859437751
experiment_middle_C,2594,1890,7.3484692283495345,939.2761394101876,56.3714859437751
experiment_middle_C,2595,1890,5.830951894845301,939.6112600536193,56.3714859437751
experiment_middle_C,2596,1890,8.306623862918075,939.9463806970509,56.3714859437751
