curve,pixel_x,pixel_y_raw,matched_pixel_count,minimum_color_distance,pixel_y_clean,rejected_as_isolated,observed_before_interpolation,data_x,data_y_raw
experiment_middle_C,1006,570.0,7,7.0,570.0,False,True,0.0,55.42497831743278
experiment_middle_C,1007,570.0,7,5.830951894845301,570.0,False,True,0.7662835249042146,55.42497831743278
experiment_middle_C,1008,571.0,7,2.23606797749979,571.0,False,True,1.5325670498084292,55.40763226366002
experiment_middle_C,1009,570.0,7,10.770329614269007,570.0,False,True,2.2988505747126435,55.42497831743278
experiment_middle_C,1010,570.0,7,9.273618495495704,570.0,False,True,3.0651340996168583,55.42497831743278
experiment_middle_C,1011,570.0,7,3.3166247903554,570.0,False,True,3.8314176245210727,55.42497831743278
experiment_middle_C,1012,570.0,7,6.4031242374328485,570.0,False,True,4.597701149425287,55.42497831743278
experiment_middle_C,1013,569.0,7,4.242640687119285,569.0,False,True,5.363984674329502,55.44232437120555
experiment_middle_C,1014,570.0,7,7.483314773547883,570.0,False,True,6.130268199233717,55.42497831743278
experiment_middle_C,1015,571.0,7,4.47213595499958,571.0,False,True,6.896551724137931,55.40763226366002
experiment_middle_C,1016,568.0,7,1.4142135623730951,568.0,False,True,7.662835249042145,55.45967042497831
experiment_middle_C,1017,570.0,7,3.0,570.0,False,True,8.42911877394636,55.42497831743278
experiment_middle_C,1018,568.0,7,1.0,568.0,False,True,9.195402298850574,55.45967042497831
experiment_middle_C,1019,569.0,7,2.449489742783178,569.0,False,True,9.96168582375479,55.44232437120555
experiment_middle_C,1020,568.0,7,1.0,568.0,False,True,10.727969348659004,55.45967042497831
experiment_middle_C,1021,570.0,7,3.0,570.0,False,True,11.494252873563218,55.42497831743278
experiment_middle_C,1022,570.0,7,2.8284271247461903,570.0,False,True,12.260536398467433,55.42497831743278
experiment_middle_C,1023,570.0,7,3.0,570.0,False,True,13.026819923371647,55.42497831743278
experiment_middle_C,1024,569.0,7,6.164414002968976,569.0,False,True,13.793103448275861,55.44232437120555
experiment_middle_C,1025,570.0,7,7.0,570.0,False,True,14.559386973180077,55.42497831743278
experiment_middle_C,1026,570.0,7,9.433981132056603,570.0,False,True,15.32567049808429,55.42497831743278
