% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 15 2026, 19:43"
% Table,表格 - 
% uin (m/s),"intSolid(if(x<L/3,T-273.15[K],0[K]))/intSolid(if(x<L/3,1,0)) (K)","intSolid(if(x>=L/3&&x<2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=L/3&&x<2*L/3,1,0)) (K)","intSolid(if(x>=2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=2*L/3,1,0)) (K)",maxSolid(T)-273.15[K] (K),最大值 (m),最大值 (m),最大值 (m),Tin-273.15[K] (K),aveIn(T)-273.15[K] (K),aveOut(T)-273.15[K] (K),积分 3 (W),rhoAir*CpAir*uin*W*Hair*(aveOut(T)-Tin) (W),abs((intHeat(qflux))-(rhoAir*CpAir*uin*W*Hair*(aveOut(T)-Tin)))/abs(intHeat(qflux)) (1)
4,154.9761735289412,170.81150053001124,181.71326902901157,183.84915585070934,0.3,0.034305555416666675,0.011000000000000001,25,39.23606458608879,177.5742941302804,59.909849757443375,59.90984975745124,1.3129240211267683E-13
5,130.36074205963342,144.07288462865034,153.7597990022539,155.70917326226703,0.3,0.04116666649999999,0.011000000000000001,25,36.056569592097844,147.0594353042274,59.909849757443375,59.90984975745276,1.5667322781467578E-13
6,114.7706928687325,126.97900627710426,135.702984484671,137.49324782296605,0.3,0.02401388879166668,0.011000000000000001,25,34.13831127214479,126.71619608685461,59.909849757443375,59.90984975745182,1.4101776523213436E-13
8,96.24190320146951,106.5406552538433,113.90232936423472,115.45050293019352,0.3,0.04802777758333333,0.011000000000000001,25,31.817703064074692,101.28714706513813,59.909849757443375,59.909849757449614,1.041325465717527E-13
10,85.54865446341265,94.7384131234607,101.22531948785873,102.6069514050564,0.3,0.037736110958333326,0.011000000000000001,25,30.530840538459188,86.02971765211589,59.909849757443375,59.90984975745491,1.9249102857170233E-13
12,78.48172742110081,86.97957404606203,92.88347354567098,94.14864436268698,0.3,0.082333333,0.011000000000000001,25,29.706323817751183,75.85809804342995,59.909849757443375,59.909849757454936,1.9296543652874903E-13
