velocity_m_s,manual_T_inlet_region_K,manual_T_middle_region_K,manual_T_outlet_region_K,automatic_T_inlet_region_K,automatic_T_middle_region_K,automatic_T_outlet_region_K,manual_minus_auto_inlet_K,manual_minus_auto_middle_K,manual_minus_auto_outlet_K,region_RMSE_K,manual_Tmax_K,manual_Tmin_K,manual_DeltaT_K,manual_hotspot_location_normalized,automatic_Tmax_K,automatic_Tmin_K,automatic_DeltaT_K,automatic_hotspot_location_normalized
4.0,328.23587674247983,333.0311812179017,336.7538517975055,328.48650851879023,333.448121880746,336.0611747982392,-0.25063177631039935,-0.4169406628442971,0.6926769992662685,0.4886911870640019,337.9369038884813,326.7442846661776,11.192619222303733,0.8957894736842106,336.51724137931035,326.8635363169479,9.653705062362462,0.8287937743190661
5.0,325.5779530447542,329.48991195891415,333.30722670579604,326.12702553372645,330.2466709464417,333.9344414893617,-0.5490724889722287,-0.7567589875275758,-0.6272147835656483,0.650016191611979,333.98519442406456,324.0992956713133,9.885898752751245,0.97,334.49816581071167,324.62362435803374,9.874541452677931,0.96484375
6.0,323.2197358767425,327.3525311812179,330.4205796038151,323.7525474851227,327.7069599557983,331.42163884812913,-0.5328116083802001,-0.35442877458041266,-1.0010592443140354,0.685961023407272,331.6859721203228,321.24798239178284,10.437989728539947,0.97,332.479090242113,321.24798239178284,11.231107850330147,0.9455252918287936
8.0,318.15750915750914,321.63003663003667,324.7142857142857,318.86975986975983,322.3494505494506,325.03076923076924,-0.7122507122506931,-0.7194139194139098,-0.31648351648351536,0.6123776832298498,325.2124542124542,316.8561172161172,8.356336996337006,0.9452631578947369,325.5054945054945,317.45274725274726,8.052747252747224,0.96875
10.0,315.6080586080586,319.4322344322344,321.78388278388275,316.5764482431149,319.9228937728937,322.7992673992674,-0.9683896350562691,-0.49065934065930605,-1.0153846153846757,0.8582018004759573,322.84468864468863,313.54007326007326,9.304615384615374,0.97,323.5128205128205,314.01831501831504,9.49450549450546,0.921875
12.0,313.7399267399267,317.83516483516485,320.23809523809524,314.3862433862434,318.4685479129924,320.81208791208803,-0.6463166463166772,-0.6333830778275455,-0.573992673992791,0.6186994209311782,321.0547985347985,311.92131868131867,9.133479853479855,0.97,321.1098901098901,312.2600732600733,8.849816849816818,0.8560311284046693
