model,free_parameter_count,calibration_region_RMSE_C,independent_overall_region_RMSE_C,independent_worst_speed_region_RMSE_C,independent_Tmax_RMSE_C,independent_DeltaT_RMSE_C,hotspot_trend_spearman,hotspot_trend_assessable,AICc_calibration,BIC_calibration,parameters_at_boundary,maximum_medium_fine_Tmax_relative_difference,maximum_medium_fine_region_difference_C,maximum_energy_residual_relative,mesh_and_energy_passed,air_cooling_fraction_monotonically_increases,fine_six_speed_runtime_s,runtime_status,all_acceptance_gates_passed
M0,2,4.470575570082649,5.095273088309992,6.881227789580045,6.310181791566011,7.48765201675959,-0.9486832980505139,True,25.97020595861928,21.55372489707539,True,8.401815655531115e-05,0.0441817500973655,0.0002794490778629,True,True,,not_recorded_in_V7_machine_readable_output,False
M1,2,3.4945216321357337,3.7281842169968296,4.505627640423572,3.822560973882316,9.163321508052121,0.0,False,23.01435793104524,18.597876869501352,True,1.4259862842439705e-06,0.0040087284898433495,2.420963096002251e-14,True,True,0.31764100000145845,measured_wall_clock,False
M2,2,2.5496302549599643,2.845862878019487,3.225389842500643,4.7406894514493745,9.131281088052631,0.0,False,19.231380207226216,14.814899145682325,False,1.2651719259240753e-06,0.003765215276708034,2.025128958444014e-14,True,True,0.293823899992276,measured_wall_clock,False
