velocity_m_s,T_inlet_region_C,T_middle_region_C,T_outlet_region_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_location_normalized,hotspot_y_m,hotspot_z_m,air_inlet_C,air_outlet_C,Q_air_W,Q_natural_W,Q_radiation_W,Q_conduction_W,Q_total_W,energy_residual_relative,mdot_cell_kg_s,mdot_stack_kg_s,mdot_identity_relative_error,Q_air_fraction,Q_natural_fraction,Q_radiation_fraction,Q_conduction_fraction,Q_external_fraction,external_exceeds_air
4,54.383266810129314,62.22720616372789,65.71400371701165,66.71062338991419,48.23007961863669,18.480543771277496,0.8600000000000002,0.049525,0.011,26.870559617178003,63.05375086853536,17.97600229025865,33.81233522311235,8.121512981403932,0,59.90984999999738,8.258701236313736e-09,0.0004691008,0.018764032,0,0.30005086459504465,0.5643869117200899,0.13556223194356667,0.0,0.6999491436636566,True
5,52.51975546664926,60.07267520377274,63.58564301190504,64.58164601597156,46.45484664623285,18.126799369738706,0.8600000000000002,0.049525,0.011,26.653972857748958,59.594652490638566,20.42747226649264,31.896494515806857,7.585883484886989,0,59.90984999999738,4.459852687117098e-09,0.000586376,0.02345504,0,0.34097017880187536,0.5324081852284434,0.12662164042953405,0.0,0.6590298256579774,True
6,51.068694765224826,58.37552017286395,61.831452254026594,62.82183227885497,45.05553409588299,17.76629818297198,0.8700000000000003,0.049525,0.011,26.502857094212345,56.58206522888554,22.37831740346107,30.366721413846427,7.164811343011235,0,59.90984999999738,2.676043313848701e-09,0.0007036512,0.028146048,0,0.37353319034285765,0.5068736011498569,0.11959321118332876,0.0,0.6264668123331857,True
8,48.89834719648254,55.86303081329691,59.15563489047111,60.12542424491852,42.9294152736947,17.19600897122382,0.8800000000000002,0.049525,0.011,26.27986999673169,51.77744363855476,25.29849894886111,28.06785954946968,6.543491570763879,0,59.90984999999738,1.1533544539385507e-09,0.0009382016,0.037528064,0,0.42227611901652595,0.4685015827859844,0.10922229935084407,0.0,0.5777238821368285,True
10,47.297646417759296,54.05216457643685,57.20773639714097,58.15890105964104,41.342937186154586,16.815963873486453,0.8800000000000002,0.049525,0.011,26.119335313035663,48.20284878800709,27.40166563308572,26.39207267969928,6.099369934874968,0,59.90984999999738,0.0002794490778629391,0.001172752,0.04691008,0,0.4573816431369286,0.4405297739804128,0.10180913380479562,0.0,0.5423389077852084,True
12,46.03626932391138,52.66075606264405,55.730893162010126,56.66851020178183,40.082576452147805,16.585933749634023,0.8800000000000002,0.049525,0.011,26.00122345917964,45.48707268293418,29.03332710155739,25.10068500828285,5.762269006902875,0,59.90984999999738,0.00022648835298804445,0.0014073024,0.056292096,0,0.48461692195120937,0.41897425896215645,0.09618233073364608,0.0,0.5151565896958026,True
